rlamD,r_as,intensity,core_contrast,core_thruput,core_mean_intensity,core_area,occ_trans
3.1,0.155,1.21E-11,4.37E-09,0.027,0.0015,0.0024,0.2581
3.3,0.165,1.08E-11,2.34E-09,0.0333,0.0018,0.0025,0.3066
3.5,0.175,1.09E-11,1.58E-09,0.036,0.002,0.0024,0.3402
3.7,0.185,9.63E-12,1.65E-09,0.0401,0.0021,0.0026,0.3607
3.9,0.195,1.15E-11,2.00E-09,0.0414,0.0022,0.0026,0.3719
4.1,0.206,1.24E-11,2.25E-09,0.0414,0.0023,0.0025,0.3826
4.3,0.216,3.23E-11,2.12E-09,0.0429,0.0023,0.0025,0.3955
4.5,0.226,2.96E-10,1.69E-09,0.0444,0.0024,0.0025,0.4092
4.7,0.236,1.08E-09,1.27E-09,0.0455,0.0025,0.0025,0.4205
4.9,0.246,6.98E-12,1.05E-09,0.0449,0.0025,0.0024,0.4274
5.1,0.256,1.98E-12,1.10E-09,0.0452,0.0026,0.0024,0.4302
5.3,0.266,5.97E-13,1.31E-09,0.0452,0.0026,0.0024,0.4305
5.5,0.276,5.49E-13,1.53E-09,0.0452,0.0026,0.0024,0.4299
5.7,0.286,4.64E-13,1.55E-09,0.0465,0.0026,0.0025,0.4294
5.9,0.296,2.42E-13,1.43E-09,0.0465,0.0025,0.0025,0.4291
6.1,0.306,1.73E-13,1.32E-09,0.0465,0.0026,0.0025,0.4295
6.3,0.316,1.70E-13,1.18E-09,0.0465,0.0026,0.0025,0.4304
6.5,0.326,1.35E-13,1.08E-09,0.0465,0.0026,0.0025,0.4308
6.7,0.336,9.69E-14,1.03E-09,0.0465,0.0026,0.0025,0.4304
6.9,0.346,6.24E-14,1.07E-09,0.0465,0.0026,0.0025,0.4295
7.1,0.356,4.58E-14,1.08E-09,0.0464,0.0025,0.0025,0.4287
7.3,0.366,3.18E-14,1.03E-09,0.0463,0.0025,0.0025,0.4274
7.5,0.376,1.82E-14,9.71E-10,0.0463,0.0025,0.0025,0.4254
7.7,0.386,1.42E-14,1.02E-09,0.0463,0.0025,0.0025,0.4256
7.9,0.396,1.17E-14,1.14E-09,0.0462,0.0025,0.0025,0.4286
8.1,0.406,1.27E-14,1.14E-09,0.0436,0.0026,0.0023,0.4305
8.3,0.416,1.62E-14,1.17E-09,0.046,0.0025,0.0025,0.4293
8.5,0.426,1.71E-14,1.59E-09,0.046,0.0025,0.0025,0.4268
8.7,0.436,2.01E-14,3.02E-09,0.046,0.0025,0.0025,0.4263
#comment: Produced by Hanying Zhou 8/21/2020,,,,,,,
