rlamD,r_as,intensity,core_contrast,core_thruput,core_mean_intensity,core_area,occ_trans
3.1,0.197,2.87E-12,3.63E-09,0.0281,0.0008,0.0086,0.1326
3.3,0.21,2.51E-12,2.73E-09,0.036,0.0009,0.0097,0.1537
3.5,0.223,2.08E-12,2.02E-09,0.0361,0.001,0.0084,0.172
3.7,0.235,2.11E-12,1.91E-09,0.0394,0.0011,0.0086,0.1849
3.9,0.248,2.09E-12,1.81E-09,0.0443,0.0012,0.0094,0.1933
4.1,0.261,2.48E-12,2.09E-09,0.0468,0.0012,0.0097,0.1986
4.3,0.274,2.83E-12,2.34E-09,0.0478,0.0012,0.0097,0.2022
4.5,0.286,3.03E-12,2.47E-09,0.0492,0.0012,0.0099,0.2052
4.7,0.299,3.14E-12,2.53E-09,0.0505,0.0012,0.01,0.208
4.9,0.312,3.32E-12,2.64E-09,0.0512,0.0013,0.01,0.2105
5.1,0.325,3.68E-12,2.90E-09,0.0518,0.0013,0.01,0.2127
5.3,0.337,3.32E-12,2.59E-09,0.0524,0.0013,0.01,0.2147
5.5,0.35,3.44E-12,2.66E-09,0.0528,0.0013,0.01,0.2162
5.7,0.363,3.04E-12,2.34E-09,0.0531,0.0013,0.01,0.2175
5.9,0.375,2.64E-12,2.03E-09,0.0534,0.0013,0.01,0.2184
6.1,0.388,2.83E-12,2.16E-09,0.0536,0.0013,0.01,0.2192
6.3,0.401,2.50E-12,1.90E-09,0.0537,0.0013,0.01,0.2197
6.5,0.414,2.20E-12,1.67E-09,0.0537,0.0013,0.01,0.22
6.7,0.426,2.31E-12,1.76E-09,0.0531,0.0013,0.0099,0.2201
6.9,0.439,2.13E-12,1.62E-09,0.053,0.0013,0.0099,0.22
7.1,0.452,2.43E-12,1.85E-09,0.053,0.0013,0.0099,0.2199
7.3,0.465,2.35E-12,1.79E-09,0.0529,0.0013,0.0099,0.2198
7.5,0.477,2.55E-12,1.94E-09,0.0535,0.0013,0.01,0.2196
7.7,0.49,2.72E-12,2.08E-09,0.0525,0.0013,0.0099,0.2187
7.9,0.503,2.56E-12,1.99E-09,0.0503,0.0013,0.0096,0.2158
8.1,0.515,2.49E-12,2.00E-09,0.0485,0.0012,0.0096,0.2092
8.3,0.528,2.41E-12,2.06E-09,0.0437,0.0012,0.0091,0.1966
8.5,0.541,2.52E-12,2.39E-09,0.0405,0.0011,0.0094,0.1768
8.7,0.554,3.09E-12,3.37E-09,0.0334,0.0009,0.0089,0.1532
8.9,0.566,3.82E-12,5.15E-09,0.0275,0.0007,0.0091,0.1243
#comment: Produced by Hanying Zhou 8/21/2020,,,,,,,
