rlamD,r_as,intensity,core_contrast,core_thruput,core_mean_intensity,core_area,occ_trans
6,0.432,5.63E-12,3.51E-09,0.0262,0.0016,0.0046,0.1887
6.2,0.446,4.68E-12,2.59E-09,0.0295,0.0018,0.0046,0.2129
6.4,0.46,4.08E-12,2.11E-09,0.0315,0.0019,0.0046,0.2276
6.6,0.475,3.23E-12,1.60E-09,0.0327,0.002,0.0046,0.2372
6.8,0.489,2.82E-12,1.34E-09,0.0341,0.0021,0.0046,0.2475
7,0.503,2.78E-12,1.26E-09,0.0359,0.0022,0.0046,0.2605
7.2,0.518,2.89E-12,1.24E-09,0.0377,0.0023,0.0046,0.2745
7.4,0.532,3.13E-12,1.29E-09,0.0393,0.0024,0.0046,0.286
7.6,0.547,3.24E-12,1.30E-09,0.0403,0.0025,0.0046,0.2928
7.8,0.561,3.38E-12,1.35E-09,0.0419,0.0025,0.0048,0.2953
8,0.575,3.45E-12,1.37E-09,0.042,0.0025,0.0048,0.2958
8.2,0.59,3.44E-12,1.37E-09,0.0421,0.0025,0.0048,0.2965
8.4,0.604,3.39E-12,1.33E-09,0.0424,0.0025,0.0048,0.2984
8.6,0.618,3.27E-12,1.28E-09,0.0415,0.0026,0.0046,0.3014
8.8,0.633,3.07E-12,1.19E-09,0.0418,0.0026,0.0046,0.3043
9,0.647,2.87E-12,1.10E-09,0.0421,0.0026,0.0046,0.3065
9.2,0.662,2.72E-12,1.04E-09,0.0436,0.0026,0.0048,0.3077
9.4,0.676,2.68E-12,1.02E-09,0.0437,0.0026,0.0048,0.3082
9.6,0.69,2.71E-12,1.03E-09,0.0437,0.0026,0.0048,0.3083
9.8,0.705,2.80E-12,1.07E-09,0.0437,0.0026,0.0048,0.3083
10,0.719,2.95E-12,1.12E-09,0.0437,0.0026,0.0048,0.3083
10.2,0.734,3.16E-12,1.21E-09,0.0437,0.0026,0.0048,0.3083
10.4,0.748,3.32E-12,1.27E-09,0.0424,0.0026,0.0046,0.3084
10.6,0.762,3.29E-12,1.25E-09,0.0424,0.0026,0.0046,0.3084
